Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
CFRUY,2021-10-01,2021-12-31,9.79,13.72,40.24
NTBL,2023-04-03,2023-06-30,5.74,8.05,40.24
AOS,2021-10-01,2021-12-31,58.33,81.8,40.23
SHO,2020-10-01,2020-12-31,7.64,10.72,40.22
DAVE,2023-10-02,2023-12-29,5.98,8.39,40.22
LYFT,2024-01-02,2024-03-28,13.8,19.35,40.22
DDI,2024-01-02,2024-03-28,7.76,10.88,40.21
PII,2021-01-04,2021-03-31,87.38,122.52,40.21
DOMO,2021-04-01,2021-06-30,57.65,80.83,40.21
PRTA,2023-04-03,2023-06-30,48.7,68.28,40.21
ULH,2022-04-01,2022-06-30,18.92,26.53,40.2
IMVT,2022-07-01,2022-09-30,3.98,5.58,40.2
KEY,2023-10-02,2023-12-29,9.86,13.82,40.19
HBNC,2023-10-02,2023-12-29,9.83,13.78,40.19
LGO,2022-01-03,2022-03-31,9.06,12.7,40.18
SURG,2022-10-03,2022-12-30,4.68,6.56,40.17
