Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
INTC,2023-10-02,2023-12-29,34.88,49.59,42.17
VSTM,2024-01-02,2024-03-28,8.3,11.8,42.17
PTC,2020-10-01,2020-12-31,84.13,119.61,42.17
BCML,2020-10-01,2020-12-31,10.2,14.5,42.17
OLO,2021-04-01,2021-06-30,26.3,37.39,42.17
EQ,2021-01-04,2021-03-31,5.03,7.15,42.15
RNA,2022-10-03,2022-12-30,15.61,22.19,42.15
CTLP,2023-04-03,2023-06-30,5.6,7.96,42.14
LGL,2023-10-02,2023-12-29,4.32,6.14,42.13
RYTM,2023-07-03,2023-09-29,16.13,22.92,42.13
FLYU,2023-04-03,2023-06-30,30.1,42.78,42.12
TME,2023-10-02,2023-12-29,6.28,8.93,42.11
FMFG,2021-01-04,2021-03-31,11.91,16.92,42.11
PGPEF,2020-10-01,2020-12-31,28.84,40.98,42.1
CRMT,2021-01-04,2021-03-31,107.23,152.37,42.1
MFA,2020-10-01,2020-12-31,7.1,10.09,42.1
BB,2021-04-01,2021-06-30,8.6,12.22,42.09
RMCF,2021-04-01,2021-06-30,5.37,7.63,42.09
KALV,2021-01-04,2021-03-31,18.08,25.69,42.09
HZO,2021-01-04,2021-03-31,34.74,49.36,42.08
DK,2021-01-04,2021-03-31,14.0,19.9,42.07
DAC,2022-01-03,2022-03-31,64.73,91.95,42.07
SDSYA,2021-10-01,2021-12-31,3.4,4.83,42.06
RDVT,2020-10-01,2020-12-31,18.38,26.11,42.06
SICP,2022-07-01,2022-09-30,53.04,75.35,42.06
KTRA,2022-10-03,2022-12-30,4.85,6.89,42.06
EAT,2024-04-01,2024-06-28,50.96,72.39,42.05
HBIO,2020-10-01,2020-12-31,3.02,4.29,42.05
LKFN,2023-10-02,2023-12-29,44.87,63.74,42.04
HALO,2022-10-03,2022-12-30,40.06,56.9,42.04
TVTX,2020-10-01,2020-12-31,19.19,27.25,42.03
PAY,2021-10-01,2021-12-31,24.63,34.98,42.02
IBTX,2020-10-01,2020-12-31,39.77,56.49,42.02
ASO,2021-04-01,2021-06-30,28.48,40.45,42.01
EWBC,2023-10-02,2023-12-29,49.59,70.42,42.01
NVRI,2023-04-03,2023-06-30,6.95,9.87,42.01
FREJO,2023-10-02,2023-12-29,3.0,4.26,42.0
LOGC,2023-10-02,2023-12-29,4.19,5.95,42.0
KAIKY,2024-04-01,2024-06-28,10.0,14.2,42.0
SBSW,2020-10-01,2020-12-31,9.04,12.83,42.0
INDV,2023-04-03,2023-06-30,16.76,23.8,42.0
BMI,2020-10-01,2020-12-31,64.43,91.47,41.97
CFFN,2023-10-02,2023-12-29,4.35,6.17,41.97
SBOW,2021-01-04,2021-03-31,5.48,7.78,41.97
VANI,2022-04-01,2022-06-30,4.29,6.09,41.96
BPMC,2023-04-03,2023-06-30,44.52,63.2,41.96
CIO-PA,2023-10-02,2023-12-29,12.92,18.33,41.96
